Setting,Film
Alabama,8
Alaska,5
Arizona,16
Arkansas,3
California,92
Colorado,16
Connecticut,17
Delaware,4
Florida,29
Georgia,10
Hawaii,2
Idaho,1
Illinois,23
Indiana,3
Iowa,4
Kansas,7
Kentucky,2
Louisiana,22
Maine,30
Maryland,6
Massachusetts,36
Michigan,8
Minnesota,6
Mississippi,2
Missouri,5
Nebraska,13
Nevada,11
New Hampshire,5
New Jersey,28
New Mexico,13
New York,28
North Carolina,10
North Dakota,2
Ohio,21
Oklahoma,5
Oregon,16
Pennsylvania,21
Rhode Island,7
South Carolina,4
South Dakota,2
Tennessee,6
Texas,34
Utah,9
Vermont,6
Virginia,8
Washington,10
West Virginia,9
Wisconsin,7
Wyoming,2
